期刊名称,类型,别名,ISSN,中国科协高质量期刊标签,FMS学科,FMS主办单位,FMS JCR排名
管理世界,期刊,,1002-5502,管理科学 T1（2025总汇）,中文期刊,国务院发展研究中心,
经济研究,期刊,,0577-9154,管理科学 T1（2025总汇）,中文期刊,中国社会科学院经济研究所,
管理科学学报,期刊,,1007-9807,管理科学 T1（2025总汇）,中文期刊,天津大学、国家自然科学基金委员会管理科学部,
中国社会科学,期刊,,1002-4921,管理科学 T1（2025总汇）,中文期刊,中国社会科学杂志社,
南开管理评论,期刊,,1008-3448,管理科学 T1（2025总汇）,中文期刊,南开大学商学院,
系统工程理论与实践,期刊,,1000-6788,管理科学 T1（2025总汇）,中文期刊,中国系统工程学会,
中国工业经济,期刊,,1006-480X,管理科学 T1（2025总汇）,中文期刊,中国社会科学院工业经济研究所,
金融研究,期刊,,1002-7246,管理科学 T1（2025总汇）,中文期刊,中国金融学会,
中国管理科学,期刊,,1003-207X,管理科学 T1（2025总汇）,中文期刊,中国优选法统筹法与经济数学研究会、中国科学院科技战略咨询研究院,
会计研究,期刊,,1003-2886,管理科学 T1（2025总汇）,中文期刊,中国会计学会,
经济学（季刊）,期刊,,2095-1086,管理科学 T1（2025总汇）,中文期刊,北京大学出版社,
世界经济,期刊,,1002-9621,管理科学 T1（2025总汇）,中文期刊,中国世界经济学会、中国社会科学院世界经济与政治研究所,
管理工程学报,期刊,,1004-6062,管理科学 T1（2025总汇）,中文期刊,浙江大学,
公共管理学报,期刊,,1672-6162,管理科学 T1（2025总汇）,中文期刊,哈尔滨工业大学经济与管理学院,
中国软科学,期刊,,1005-0566,管理科学 T1（2025总汇）,中文期刊,中国软科学研究会,
管理科学,期刊,,1672-0334,管理科学 T1（2025总汇）,中文期刊,哈尔滨工业大学经济与管理学院,
数量经济技术经济研究,期刊,,1000-3894,管理科学 T1（2025总汇）,中文期刊,中国社科院数量经济与技术经济研究所,
心理学报,期刊,,0439-755X,管理科学 T1（2025总汇）,中文期刊,中国心理学会、中国科学院心理研究所,
科研管理,期刊,,1000-2995,管理科学 T1（2025总汇）,中文期刊,中国科学院科技战略咨询研究院、中国科学学与科技政策研究会,
管理评论,期刊,,1003-1952,管理科学 T1（2025总汇）,中文期刊,中国科学院大学,
科学学研究,期刊,,1003-2053,管理科学 T1（2025总汇）,中文期刊,中国科学学与科技政策研究会、中国科学院科技战略咨询研究院、清华大学科学技术与社会研究中心,
情报学报,期刊,,1000-0135,管理科学 T1（2025总汇）,中文期刊,中国科学技术情报学会、中国科学技术信息研究所,
统计研究,期刊,,1002-4565,管理科学 T1（2025总汇）,中文期刊,中国统计学会、国家统计局统计科学研究所,
中国农村经济,期刊,,1002-8870,管理科学 T1（2025总汇）,中文期刊,中国社会科学院农村发展研究所,
中国图书馆学报,期刊,,1001-8867,管理科学 T1（2025总汇）,中文期刊,国家图书馆、中国图书馆学会,
工程管理科技前沿,期刊,,2097-0145,管理科学 T1（2025总汇）,中文期刊,合肥工业大学,
管理学报,期刊,,1672-884X,管理科学 T1（2025总汇）,中文期刊,华中科技大学,
计量经济学报,期刊,,2096-9732,管理科学 T1（2025总汇）,中文期刊,中国科学院数学与系统科学研究院,
系统工程学报,期刊,,1000-5781,管理科学 T2（2025总汇）,中文期刊,中国系统工程学会,
中国行政管理,期刊,,1006-0863,管理科学 T2（2025总汇）,中文期刊,中国行政管理学会,
审计研究,期刊,,1002-4239,管理科学 T2（2025总汇）,中文期刊,中国审计学会,
财贸经济,期刊,,1002-8102,管理科学 T2（2025总汇）,中文期刊,中国社会科学院财经战略研究院,
系统管理学报,期刊,,1005-2542,管理科学 T2（2025总汇）,中文期刊,上海交通大学,
经济学动态,期刊,,1002-8390,管理科学 T2（2025总汇）,中文期刊,中国社会科学院经济研究所,
运筹与管理,期刊,,1007-3221,管理科学 T2（2025总汇）,中文期刊,中国运筹学会,
农业经济问题,期刊,,1000-6389,管理科学 T2（2025总汇）,中文期刊,中国农业经济学会、中国农业科学院农业经济与发展研究所,
科学学与科学技术管理,期刊,,1002-0241,管理科学 T2（2025总汇）,中文期刊,中国科学学与科技政策研究会、天津市科学学研究所,
经济科学,期刊,,1002-5839,管理科学 T2（2025总汇）,中文期刊,北京大学,
财经研究,期刊,,1001-9952,管理科学 T2（2025总汇）,中文期刊,上海财经大学,
经济管理,期刊,,1002-5766,管理科学 T2（2025总汇）,中文期刊,中国社会科学院工业经济研究所,
中国人口·资源与环境,期刊,,1002-2104,管理科学 T2（2025总汇）,中文期刊,中国可持续发展研究会、山东省可持续发展研究中心、中国21世纪议程管理中心、山东师范大学,
南开经济研究,期刊,,1001-4691,管理科学 T2（2025总汇）,中文期刊,南开大学经济学院,
研究与发展管理,期刊,,1004-8308,管理科学 T2（2025总汇）,中文期刊,复旦大学,
国际金融研究,期刊,,1006-1029,管理科学 T2（2025总汇）,中文期刊,中国银行股份有限公司、中国国际金融学会,
经济理论与经济管理,期刊,,1000-596X,管理科学 T2（2025总汇）,中文期刊,中国人民大学,
国际贸易问题,期刊,,1002-4670,管理科学 T2（2025总汇）,中文期刊,对外经济贸易大学,
经济学家,期刊,,1003-5656,管理科学 T2（2025总汇）,中文期刊,"西南财经大学、四川社会科学学术基
金会",
财政研究,期刊,,1003-2878,管理科学 T2（2025总汇）,中文期刊,中国财政学会,
营销科学学报,期刊,,2097-0099,管理科学 T2（2025总汇）,中文期刊,人民邮电出版社有限公司,
工业工程与管理,期刊,,1007-5429,管理科学 T2（2025总汇）,中文期刊,上海交通大学,
数理统计与管理,期刊,,1002-1566,管理科学 T2（2025总汇）,中文期刊,中国现场统计研究会,
改革,期刊,,1003-7543,管理科学 T2（2025总汇）,中文期刊,重庆社会科学院,
外国经济与管理,期刊,,1001-4950,管理科学 T2（2025总汇）,中文期刊,上海财经大学,
保险研究,期刊,,1004-3306,管理科学 T2（2025总汇）,中文期刊,中国保险学会,
中国农村观察,期刊,,1006-4583,管理科学 T2（2025总汇）,中文期刊,中国社会科学院农村发展研究所,
旅游学刊,期刊,,1002-5006,管理科学 T2（2025总汇）,中文期刊,北京联合大学旅游学院,
经济社会体制比较,期刊,,1003-3947,管理科学 T2（2025总汇）,中文期刊,中央党史和文献研究院,
经济评论,期刊,,1005-3425,管理科学 T2（2025总汇）,中文期刊,武汉大学,
系统科学与数学,期刊,,1000-0577,管理科学 T2（2025总汇）,中文期刊,中国科学院数学与系统科学研究院,
世界经济研究,期刊,,1007-6964,管理科学 T2（2025总汇）,中文期刊,上海社会科学院世界经济研究所,
经济地理,期刊,,1000-8462,管理科学 T2（2025总汇）,中文期刊,中国地理学会、湖南省经济地理研究所,
国际经济评论,期刊,,1007-0974,管理科学 T2（2025总汇）,中文期刊,中国社会科学院世界经济与政治研究所,
产业经济研究,期刊,,1671-9301,管理科学 T2（2025总汇）,中文期刊,南京财经大学,
世界经济文汇,期刊,,0253-9772,管理科学 T2（2025总汇）,中文期刊,复旦大学,
农业技术经济,期刊,,1000-6370,管理科学 T2（2025总汇）,中文期刊,中国农业技术经济学会、中国农业科学院农业经济与发展研究所,
公共行政评论,期刊,,1674-2486,管理科学 T2（2025总汇）,中文期刊,广东人民出版社有限公司、广东省治理现代化研究所,
经济与管理研究,期刊,,1000-7636,管理科学 T2（2025总汇）,中文期刊,首都经济贸易大学,
宏观经济研究,期刊,,1008-2069,管理科学 T2（2025总汇）,中文期刊,国家发改委宏观经济研究院,
财经科学,期刊,,1000-8306,管理科学 T2（2025总汇）,中文期刊,西南财经大学,
当代经济科学,期刊,,1002-2848,管理科学 T2（2025总汇）,中文期刊,西安交通大学,
图书情报工作,期刊,,0252-3116,管理科学 T2（2025总汇）,中文期刊,中国科学院文献情报中心,
资源科学,期刊,,1007-7588,管理科学 T2（2025总汇）,中文期刊,中国科学院地理科学与资源研究所、中国自然资源学会,
当代财经,期刊,,1005-0892,管理科学 T2（2025总汇）,中文期刊,江西财经大学,
财贸研究,期刊,,1001-6260,管理科学 T2（2025总汇）,中文期刊,安徽财经大学,
中国经济问题,期刊,,1000-4181,管理科学 T2（2025总汇）,中文期刊,厦门大学经济研究所,
审计与经济研究,期刊,,1004-4833,管理科学 T2（2025总汇）,中文期刊,南京审计大学,
图书情报知识,期刊,,1003-2797,管理科学 T2（2025总汇）,中文期刊,武汉大学,
金融评论,期刊,,1674-7690,管理科学 T2（2025总汇）,中文期刊,中国社会科学院金融研究所,
交通运输系统工程与信息,期刊,,1009-6744,管理科学 T2（2025总汇）,中文期刊,中国系统工程学会,
金融论坛,期刊,,1009-9190,管理科学 T2（2025总汇）,中文期刊,城市金融研究所、中国城市金融学会,
数据分析与知识发现,期刊,,2096-3467,管理科学 T2（2025总汇）,中文期刊,中国科学院文献情报中心,
南方经济,期刊,,1000-6249,管理科学 T2（2025总汇）,中文期刊,广东省社会科学院,
国际经贸探索,期刊,,1002-0594,管理科学 T2（2025总汇）,中文期刊,广东外语外贸大学,
金融经济学研究,期刊,,1674-1625,管理科学 T2（2025总汇）,中文期刊,广东金融学院,
信息资源管理学报,期刊,,2095-2171,管理科学 T2（2025总汇）,中文期刊,武汉大学,
会计与经济研究,期刊,,2096-9554,管理科学 T2（2025总汇）,中文期刊,上海立信会计学院,
公共管理评论,期刊,,2096-7713,管理科学 T2（2025总汇）,中文期刊,清华大学,
经济学报,期刊,,2095-7254,管理科学 T2（2025总汇）,中文期刊,清华大学,
电子政务,期刊,,1672-7223,管理科学 T2（2025总汇）,中文期刊,中国科学院文献情报中心,
管理学研究,期刊,,,管理科学 T2（2025总汇）,中文期刊,中山大学管理学院,
信息系统学报,期刊,,,管理科学 T2（2025总汇）,中文期刊,清华大学经济管理学院,
金融学季刊,期刊,,,管理科学 T2（2025总汇）,中文期刊,中国金融学年会、中山大学岭南学院,
珞珈管理评论,期刊,,,管理科学 T2（2025总汇）,中文期刊,武汉大学,
数量经济研究,期刊,,,管理科学 T2（2025总汇）,中文期刊,吉林大学数量经济研究中心,
American Economic Journal: Applied Economics,期刊,,1945-7782,管理科学 A（2025总汇）,产业经济与发展经济,,2
Journal of Development Economics,期刊,,0304-3878,管理科学 A（2025总汇）,产业经济与发展经济,,6
Journal of Public Economics,期刊,,0047-2727,管理科学 A（2025总汇）,产业经济与发展经济,,9
RAND Journal of Economics,期刊,,0741-6261,管理科学 A（2025总汇）,产业经济与发展经济,,13
American Economic Journal: Economic Policy,期刊,,1945-7731,管理科学 B（2025总汇）,产业经济与发展经济,,4
Brookings Papers on Economic Activity,期刊,,0007-2303,管理科学 B（2025总汇）,产业经济与发展经济,,13
China Economic Review,期刊,,1043-951X,管理科学 B（2025总汇）,产业经济与发展经济,,3
Economic Development and Cultural Change,期刊,,0013-0079,管理科学 B（2025总汇）,产业经济与发展经济,,25
Gender and Education,期刊,,0954-0253,管理科学 B（2025总汇）,产业经济与发展经济,,24
International Journal of Industrial Organization,期刊,,0167-7187,管理科学 B（2025总汇）,产业经济与发展经济,,36
Journal of Comparative Economics,期刊,,0147-5967,管理科学 B（2025总汇）,产业经济与发展经济,,11
Journal of Development Studies,期刊,,0022-0388,管理科学 B（2025总汇）,产业经济与发展经济,,25
Journal of Economic Growth,期刊,,1381-4338,管理科学 B（2025总汇）,产业经济与发展经济,,12
Journal of Economics & Management Strategy,期刊,,1058-6407,管理科学 B（2025总汇）,产业经济与发展经济,,36
Journal of Industrial Economics,期刊,,0022-1821,管理科学 B（2025总汇）,产业经济与发展经济,,47
Journal of Real Estate Finance and Economics,期刊,,0895-5638,管理科学 B（2025总汇）,产业经济与发展经济,,25
Journal of Regulatory Economics,期刊,,0922-680X,管理科学 B（2025总汇）,产业经济与发展经济,,36
Real Estate Economics,期刊,,1080-8620,管理科学 B（2025总汇）,产业经济与发展经济,,21
Review of Income and Wealth,期刊,,0034-6586,管理科学 B（2025总汇）,产业经济与发展经济,,25
World Bank Economic Review,期刊,,0258-6770,管理科学 B（2025总汇）,产业经济与发展经济,,25
World Development,期刊,,0305-750X,管理科学 B（2025总汇）,产业经济与发展经济,,5
B.E. Journal of Economic Analysis & Policy,期刊,,1935-1682,管理科学 C（2025总汇）,产业经济与发展经济,,49
China & World Economy,期刊,,1671-2234,管理科学 C（2025总汇）,产业经济与发展经济,,8
Economics & Politics,期刊,,0954-1985,管理科学 C（2025总汇）,产业经济与发展经济,,36
Economics of Transition and Institutional Change,期刊,,2577-6975,管理科学 C（2025总汇）,产业经济与发展经济,,40
Fiscal Studies,期刊,,0143-5671,管理科学 C（2025总汇）,产业经济与发展经济,,40
Information Economics and Policy,期刊,,0167-6245,管理科学 C（2025总汇）,产业经济与发展经济,,10
International Journal of the Economics of Business,期刊,,1357-1516,管理科学 C（2025总汇）,产业经济与发展经济,,48
Journal of African Economies,期刊,,0963-8024,管理科学 C（2025总汇）,产业经济与发展经济,,33
Journal of Economic Inequality,期刊,,1569-1721,管理科学 C（2025总汇）,产业经济与发展经济,,16
Journal of Housing Economics,期刊,,1051-1377,管理科学 C（2025总汇）,产业经济与发展经济,,16
Journal of International Development,期刊,,0954-1748,管理科学 C（2025总汇）,产业经济与发展经济,,31
Journal of Real Estate Research,期刊,,0896-5803,管理科学 C（2025总汇）,产业经济与发展经济,,43
Journal of Revenue and Pricing Management,期刊,,1476-6930,管理科学 C（2025总汇）,产业经济与发展经济,,33
Managerial and Decision Economics,期刊,,0143-6570,管理科学 C（2025总汇）,产业经济与发展经济,,15
Manchester School,期刊,,1463-6786,管理科学 C（2025总汇）,产业经济与发展经济,,45
National Tax Journal,期刊,,0028-0283,管理科学 C（2025总汇）,产业经济与发展经济,,40
Oxford Development Studies,期刊,,1360-0818,管理科学 C（2025总汇）,产业经济与发展经济,,43
Post Communist Economies,期刊,,1463-1377,管理科学 C（2025总汇）,产业经济与发展经济,,25
Review of Development Economics,期刊,,1363-6669,管理科学 C（2025总汇）,产业经济与发展经济,,19
Review of Economics of the Household,期刊,,1569-5239,管理科学 C（2025总汇）,产业经济与发展经济,,19
Review of Industrial Organization,期刊,,0889-938X,管理科学 C（2025总汇）,产业经济与发展经济,,50
Review of Network Economics,期刊,,2194-5993,管理科学 C（2025总汇）,产业经济与发展经济,,51
Asian Economic Journal,期刊,,1351-3958,管理科学 D（2025总汇）,产业经济与发展经济,,45
China Economic Journal,期刊,,1753-8963,管理科学 D（2025总汇）,产业经济与发展经济,,18
Comparative Economic Studies,期刊,,0888-7233,管理科学 D（2025总汇）,产业经济与发展经济,,33
Economic and Political Studies,期刊,,2095-4816,管理科学 D（2025总汇）,产业经济与发展经济,,21
Economic Change and Restructuring,期刊,,1573-9414,管理科学 D（2025总汇）,产业经济与发展经济,,7
International Journal of Strategic Property Management,期刊,,1648-715X,管理科学 D（2025总汇）,产业经济与发展经济,,31
Journal of Property Investment & Finance,期刊,,1463-578X,管理科学 D（2025总汇）,产业经济与发展经济,,21
Telecommunications Policy,期刊,,0308-5961,管理科学 D（2025总汇）,产业经济与发展经济,,1
Entrepreneurship Theory and Practice,期刊,,1042-2587,管理科学 A（2025总汇）,创业与中小企业管理,,2
Journal of Business Venturing,期刊,,0883-9026,管理科学 A（2025总汇）,创业与中小企业管理,,1
Strategic Entrepreneurship Journal,期刊,,1932-4391,管理科学 A（2025总汇）,创业与中小企业管理,,4
Entrepreneurship and Regional Development,期刊,,0898-5626,管理科学 B（2025总汇）,创业与中小企业管理,,12
Family Business Review,期刊,,0894-4865,管理科学 B（2025总汇）,创业与中小企业管理,,7
International Small Business Journal,期刊,,0266-2426,管理科学 B（2025总汇）,创业与中小企业管理,,10
Journal of Small Business Management,期刊,,0047-2778,管理科学 B（2025总汇）,创业与中小企业管理,,6
Small Business Economics,期刊,,0921-898X,管理科学 B（2025总汇）,创业与中小企业管理,,8
Entrepreneurship Research Journal,期刊,,2194-6175,管理科学 C（2025总汇）,创业与中小企业管理,,16
International Entrepreneurship and Management Journal,期刊,,1554-7191,管理科学 C（2025总汇）,创业与中小企业管理,,10
International Journal of Entrepreneurial Behaviour & Research,期刊,,1355-2554,管理科学 C（2025总汇）,创业与中小企业管理,,9
International Journal of Entrepreneurial Venturing,期刊,,1742-5379,管理科学 C（2025总汇）,创业与中小企业管理,,19
Journal of Business Venturing Insights,期刊,,2352-6734,管理科学 C（2025总汇）,创业与中小企业管理,,22
Journal of Family Business Strategy,期刊,,1877-8585,管理科学 C（2025总汇）,创业与中小企业管理,,5
International Journal of Entrepreneurship and Innovation,期刊,,1465-7503,管理科学 D（2025总汇）,创业与中小企业管理,,17
International Journal of Entrepreneurship and Innovation Management,期刊,,1368-275X,管理科学 D（2025总汇）,创业与中小企业管理,,22
International Journal of Entrepreneurship and Small Business,期刊,,1476-1297,管理科学 D（2025总汇）,创业与中小企业管理,,20
International Journal of Gender and Entrepreneurship,期刊,,1756-6266,管理科学 D（2025总汇）,创业与中小企业管理,,14
International Journal of Globalisation and Small Business,期刊,,1479-3059,管理科学 D（2025总汇）,创业与中小企业管理,,22
Journal of Enterprising Culture,期刊,,0218-4958,管理科学 D（2025总汇）,创业与中小企业管理,,21
Journal of Entrepreneurship,期刊,,0971-3557,管理科学 D（2025总汇）,创业与中小企业管理,,18
Journal of International Entrepreneurship,期刊,,1570-7385,管理科学 D（2025总汇）,创业与中小企业管理,,15
Journal of Small Business & Entrepreneurship,期刊,,0827-6331,管理科学 D（2025总汇）,创业与中小企业管理,,22
Journal of Small Business and Enterprise Development,期刊,,1462-6004,管理科学 D（2025总汇）,创业与中小企业管理,,12
Risk Analysis,期刊,,0272-4332,管理科学 A（2025总汇）,风险与安全管理,,9
Accident Analysis and Prevention,期刊,,0001-4575,管理科学 B（2025总汇）,风险与安全管理,,2
Disasters,期刊,,0361-3666,管理科学 B（2025总汇）,风险与安全管理,,10
Journal of Risk,期刊,,1465-1211,管理科学 B（2025总汇）,风险与安全管理,,19
Journal of Risk and Uncertainty,期刊,,0895-5646,管理科学 B（2025总汇）,风险与安全管理,,12
Journal of Safety Research,期刊,,0022-4375,管理科学 B（2025总汇）,风险与安全管理,,5
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,期刊,,1748-006X,管理科学 B（2025总汇）,风险与安全管理,,14
Reliability Engineering & System Safety,期刊,,0951-8320,管理科学 B（2025总汇）,风险与安全管理,,1
Safety Science,期刊,,0925-7535,管理科学 B（2025总汇）,风险与安全管理,,3
Security Dialogue,期刊,,0967-0106,管理科学 B（2025总汇）,风险与安全管理,,11
Disaster Prevention and Management,期刊,,0965-3562,管理科学 C（2025总汇）,风险与安全管理,,13
International Journal of Disaster Risk Reduction,期刊,,2212-4209,管理科学 C（2025总汇）,风险与安全管理,,4
International Journal of Disaster Risk Science,期刊,,2095-0055,管理科学 C（2025总汇）,风险与安全管理,,7
Journal of Operational Risk,期刊,,1744-6740,管理科学 C（2025总汇）,风险与安全管理,,17
Journal of Risk Research,期刊,,1366-9877,管理科学 C（2025总汇）,风险与安全管理,,15
Journal of Credit Risk,期刊,,1744-6619,管理科学 D（2025总汇）,风险与安全管理,,20
Journal of Loss Prevention in the Process Industries,期刊,,0950-4230,管理科学 D（2025总汇）,风险与安全管理,,6
Journal of Risk Model Validation,期刊,,1753-9579,管理科学 D（2025总汇）,风险与安全管理,,18
Journal of Safety Science and Resilience,期刊,,2096-7527,管理科学 D（2025总汇）,风险与安全管理,,8
Risk Management,期刊,,1460-3799,管理科学 D（2025总汇）,风险与安全管理,,15
European Journal of Operational Research,期刊,,0377-2217,管理科学 A（2025总汇）,工业工程与工程管理,,4
Frontiers of Engineering Management,期刊,,2095-7513,管理科学 A（2025总汇）,工业工程与工程管理,,1
IISE Transactions,期刊,,2472-5862,管理科学 A（2025总汇）,工业工程与工程管理,,20
Construction Management and Economics,期刊,,0144-6193,管理科学 B（2025总汇）,工业工程与工程管理,,15
IEEE Transactions on Engineering Management,期刊,,0018-9391,管理科学 B（2025总汇）,工业工程与工程管理,,5
International Journal of Project Management,期刊,,0263-7863,管理科学 B（2025总汇）,工业工程与工程管理,,2
Journal of Civil Engineering and Management,期刊,,1392-3730,管理科学 B（2025总汇）,工业工程与工程管理,,11
Journal of Construction Engineering and Management,期刊,,0733-9364,管理科学 B（2025总汇）,工业工程与工程管理,,7
Journal of Management in Engineering,期刊,,0742-597X,管理科学 B（2025总汇）,工业工程与工程管理,,3
Journal of Quality Technology,期刊,,0022-4065,管理科学 B（2025总汇）,工业工程与工程管理,,21
Building Research and Information,期刊,,0961-3218,管理科学 C（2025总汇）,工业工程与工程管理,,13
Construction Innovation,期刊,,1471-4175,管理科学 C（2025总汇）,工业工程与工程管理,,12
Engineering Construction and Architectural Management,期刊,,0969-9988,管理科学 C（2025总汇）,工业工程与工程管理,,10
International Journal of Quality & Reliability Management,期刊,,0265-671X,管理科学 C（2025总汇）,工业工程与工程管理,,17
Journal of Computing in Civil Engineering,期刊,,0887-3801,管理科学 C（2025总汇）,工业工程与工程管理,,5
Journal of Infrastructure Systems,期刊,,1076-0342,管理科学 C（2025总汇）,工业工程与工程管理,,21
Project Management Journal,期刊,,8756-9728,管理科学 C（2025总汇）,工业工程与工程管理,,9
Total Quality Management & Business Excellence,期刊,,1478-3363,管理科学 C（2025总汇）,工业工程与工程管理,,8
Engineering Management Journal,期刊,,1042-9247,管理科学 D（2025总汇）,工业工程与工程管理,,18
Engineering Sustainability,期刊,,1478-4629,管理科学 D（2025总汇）,工业工程与工程管理,,19
International Journal of Construction Management,期刊,,1562-3599,管理科学 D（2025总汇）,工业工程与工程管理,,13
International Journal of Managing Projects in Business,期刊,,1753-8378,管理科学 D（2025总汇）,工业工程与工程管理,,16
Journal of Public Administration Research and Theory,期刊,,1053-1858,管理科学 A（2025总汇）,公共政策与公共管理,,2
Public Administration,期刊,,0033-3298,管理科学 A（2025总汇）,公共政策与公共管理,,3
Public Administration Review,期刊,,0033-3352,管理科学 A（2025总汇）,公共政策与公共管理,,4
Public Management Review,期刊,,1471-9037,管理科学 A（2025总汇）,公共政策与公共管理,,4
Administration & Society,期刊,,0095-3997,管理科学 B（2025总汇）,公共政策与公共管理,,25
American Review of Public Administration,期刊,,0275-0740,管理科学 B（2025总汇）,公共政策与公共管理,,20
Governance,期刊,,0952-1895,管理科学 B（2025总汇）,公共政策与公共管理,,12
Government Information Quarterly,期刊,,0740-624X,管理科学 B（2025总汇）,公共政策与公共管理,,1
International Public Management Journal,期刊,,1096-7494,管理科学 B（2025总汇）,公共政策与公共管理,,15
Journal of Policy Analysis and Management,期刊,,0276-8739,管理科学 B（2025总汇）,公共政策与公共管理,,23
Nonprofit and Voluntary Sector Quarterly,期刊,,0899-7640,管理科学 B（2025总汇）,公共政策与公共管理,,20
Policy and Politics,期刊,,0305-5736,管理科学 B（2025总汇）,公共政策与公共管理,,12
Public Opinion Quarterly,期刊,,0033-362X,管理科学 B（2025总汇）,公共政策与公共管理,,17
Regulation & Governance,期刊,,1748-5983,管理科学 B（2025总汇）,公共政策与公共管理,,7
Australian Journal of Public Administration,期刊,,0313-6647,管理科学 C（2025总汇）,公共政策与公共管理,,29
Financial Accountability & Management,期刊,,0267-4424,管理科学 C（2025总汇）,公共政策与公共管理,,18
International Journal of Public Administration,期刊,,0190-0692,管理科学 C（2025总汇）,公共政策与公共管理,,29
International Journal of Public Opinion Research,期刊,,0954-2892,管理科学 C（2025总汇）,公共政策与公共管理,,38
International Review of Administrative Sciences,期刊,,0020-8523,管理科学 C（2025总汇）,公共政策与公共管理,,18
Journal of Asian Public Policy,期刊,,1751-6234,管理科学 C（2025总汇）,公共政策与公共管理,,40
Journal of Chinese Governance,期刊,,2381-2346,管理科学 C（2025总汇）,公共政策与公共管理,,8
Journal of Comparative Policy Analysis,期刊,,1387-6988,管理科学 C（2025总汇）,公共政策与公共管理,,37
Journal of Contemporary China,期刊,,1067-0564,管理科学 C（2025总汇）,公共政策与公共管理,,23
Journal of Policy Modeling,期刊,,0161-8938,管理科学 C（2025总汇）,公共政策与公共管理,,12
Journal of Public Policy,期刊,,0143-814X,管理科学 C（2025总汇）,公共政策与公共管理,,29
Local Government Studies,期刊,,0300-3930,管理科学 C（2025总汇）,公共政策与公共管理,,35
Nonprofit Management & Leadership,期刊,,1048-6682,管理科学 C（2025总汇）,公共政策与公共管理,,35
Policy Sciences,期刊,,0032-2687,管理科学 C（2025总汇）,公共政策与公共管理,,8
Policy Studies,期刊,,0144-2872,管理科学 C（2025总汇）,公共政策与公共管理,,25
Policy Studies Journal,期刊,,0190-292X,管理科学 C（2025总汇）,公共政策与公共管理,,4
Public Administration and Development,期刊,,0271-2075,管理科学 C（2025总汇）,公共政策与公共管理,,29
Public Administration Quarterly,期刊,,0734-9149,管理科学 C（2025总汇）,公共政策与公共管理,,42
Public Money & Management,期刊,,0954-0962,管理科学 C（2025总汇）,公共政策与公共管理,,29
Public Performance & Management Review,期刊,,1530-9576,管理科学 C（2025总汇）,公共政策与公共管理,,16
Public Policy and Administration,期刊,,0952-0767,管理科学 C（2025总汇）,公共政策与公共管理,,10
Social Policy & Administration,期刊,,0144-5596,管理科学 C（2025总汇）,公共政策与公共管理,,27
Voluntas,期刊,,0957-8765,管理科学 C（2025总汇）,公共政策与公共管理,,34
eJournal of Tax Research,期刊,,1448-2398,管理科学 D（2025总汇）,公共政策与公共管理,,41
Global Public Policy and Governance,期刊,,2730-6291,管理科学 D（2025总汇）,公共政策与公共管理,,27
International Journal of Public Sector Management,期刊,,0951-3558,管理科学 D（2025总汇）,公共政策与公共管理,,20
International Review of Public Administration,期刊,,1229-4659,管理科学 D（2025总汇）,公共政策与公共管理,,42
Journal of Non Profit and Public Sector Marketing,期刊,,1049-5142,管理科学 D（2025总汇）,公共政策与公共管理,,38
Review of Policy Research,期刊,,1541-132X,管理科学 D（2025总汇）,公共政策与公共管理,,10
Journal of International Business Studies,期刊,,0047-2506,管理科学 A（2025总汇）,国际商务国际事务,,1
Journal of World Business,期刊,,1090-9516,管理科学 A（2025总汇）,国际商务国际事务,,2
Asia Pacific Journal of Management,期刊,,0217-4561,管理科学 B（2025总汇）,国际商务国际事务,,4
Australian Journal of International Affairs,期刊,,1035-7718,管理科学 B（2025总汇）,国际商务国际事务,,22
Economy and Society,期刊,,0308-5147,管理科学 B（2025总汇）,国际商务国际事务,,8
European Journal of International Relations,期刊,,1354-0661,管理科学 B（2025总汇）,国际商务国际事务,,20
Foreign Affairs,期刊,,0015-7120,管理科学 B（2025总汇）,国际商务国际事务,,52
International Affairs,期刊,,0020-5850,管理科学 B（2025总汇）,国际商务国际事务,,10
International Business Review,期刊,,0969-5931,管理科学 B（2025总汇）,国际商务国际事务,,3
International Studies Quarterly,期刊,,0020-8833,管理科学 B（2025总汇）,国际商务国际事务,,29
Journal of Conflict Resolution,期刊,,0022-0027,管理科学 B（2025总汇）,国际商务国际事务,,36
Journal of European Public Policy,期刊,,1350-1763,管理科学 B（2025总汇）,国际商务国际事务,,7
Journal of International Management,期刊,,1075-4253,管理科学 B（2025总汇）,国际商务国际事务,,5
Journal of Social Policy,期刊,,0047-2794,管理科学 B（2025总汇）,国际商务国际事务,,24
Management International Review,期刊,,0938-8249,管理科学 B（2025总汇）,国际商务国际事务,,9
Review of International Political Economy,期刊,,0969-2290,管理科学 B（2025总汇）,国际商务国际事务,,11
Socio-Economic Review,期刊,,1475-1461,管理科学 B（2025总汇）,国际商务国际事务,,24
African Affairs,期刊,,0001-9909,管理科学 C（2025总汇）,国际商务国际事务,,36
Business and Politics,期刊,,1469-3569,管理科学 C（2025总汇）,国际商务国际事务,,31
Capital Markets Law Journal,期刊,,1750-7219,管理科学 C（2025总汇）,国际商务国际事务,,46
China Journal,期刊,,1324-9347,管理科学 C（2025总汇）,国际商务国际事务,,12
China Quarterly,期刊,,0305-7410,管理科学 C（2025总汇）,国际商务国际事务,,29
